Mercado,Producto,Fecha,Precio $/KG,Dia,Mes,Anio,,,
Arauca (Arauca),Papaya maradol ,8/1/2016,2089,1,Agosto,2016,,,
Arauca (Arauca),Papaya maradol ,9/1/2016,2000,1,Septiembre,2016,,,1940.073171
Arauca (Arauca),Papaya maradol ,11/1/2016,2000,1,Noviembre,2016,,,271.8773979
Arauca (Arauca),Papaya maradol ,12/1/2016,2000,1,Diciembre,2016,,,
Arauca (Arauca),Papaya maradol ,1/1/2017,1600,1,Enero,2017,,,
Arauca (Arauca),Papaya maradol ,5/1/2017,2000,1,Mayo,2017,,,
Arauca (Arauca),Papaya maradol ,6/1/2017,2000,1,Junio,2017,,,
Arauca (Arauca),Papaya maradol ,8/1/2017,2000,1,Agosto,2017,,,
Arauca (Arauca),Papaya maradol ,9/1/2017,2000,1,Septiembre,2017,,,
Arauca (Arauca),Papaya maradol ,10/1/2017,2000,1,Octubre,2017,,,
Arauca (Arauca),Papaya maradol ,12/1/2017,2000,1,Diciembre,2017,,,
Arauca (Arauca),Papaya maradol ,1/1/2018,2000,1,Enero,2018,,,
Arauca (Arauca),Papaya maradol ,2/1/2018,2000,1,Febrero,2018,,,
Arauca (Arauca),Papaya maradol ,3/1/2018,2040,1,Marzo,2018,,,
Arauca (Arauca),Papaya maradol ,4/1/2018,2033,1,Abril,2018,,,
Arauca (Arauca),Papaya maradol ,5/1/2018,1940,1,Mayo,2018,,,
Arauca (Arauca),Papaya maradol ,6/1/2018,1838,1,Junio,2018,,,
Arauca (Arauca),Papaya maradol ,7/1/2018,1500,1,Julio,2018,,,
Arauca (Arauca),Papaya maradol ,10/1/2018,2104,1,Octubre,2018,,,
Arauca (Arauca),Papaya maradol ,11/1/2018,2067,1,Noviembre,2018,,,
Arauca (Arauca),Papaya maradol ,1/1/2019,1781,1,Enero,2019,,,
Arauca (Arauca),Papaya maradol ,2/1/2019,1921,1,Febrero,2019,,,
Arauca (Arauca),Papaya maradol ,3/1/2019,1796,1,Marzo,2019,,,
Arauca (Arauca),Papaya maradol ,4/1/2019,1842,1,Abril,2019,,,
Arauca (Arauca),Papaya maradol ,7/1/2019,2133,1,Julio,2019,,,
Arauca (Arauca),Papaya maradol ,8/1/2019,2100,1,Agosto,2019,,,
Arauca (Arauca),Papaya maradol ,9/1/2019,2033,1,Septiembre,2019,,,
Arauca (Arauca),Papaya maradol ,10/1/2019,1885,1,Octubre,2019,,,
Arauca (Arauca),Papaya maradol ,11/1/2019,1950,1,Noviembre,2019,,,
Arauca (Arauca),Papaya maradol ,12/1/2019,1865,1,Diciembre,2019,,,
Arauca (Arauca),Papaya maradol ,3/1/2020,2044,1,Marzo,2020,,,
Arauca (Arauca),Papaya maradol ,5/1/2020,1592,1,Mayo,2020,,,
Arauca (Arauca),Papaya maradol ,6/1/2020,1411,1,Junio,2020,,,
Arauca (Arauca),Papaya maradol ,9/1/2020,1741,1,Septiembre,2020,,,
Arauca (Arauca),Papaya maradol ,10/1/2020,1767,1,Octubre,2020,,,
Arauca (Arauca),Papaya maradol ,11/1/2020,1658,1,Noviembre,2020,,,
Arauca (Arauca),Papaya maradol ,12/1/2020,1650,1,Diciembre,2020,,,
Arauca (Arauca),Papaya maradol ,1/1/2021,1796,1,Enero,2021,,,
Arauca (Arauca),Papaya maradol ,2/1/2021,1787,1,Febrero,2021,,,
Arauca (Arauca),Papaya maradol ,3/1/2021,1637,1,Marzo,2021,,,
Arauca (Arauca),Papaya maradol ,4/1/2021,1662,1,Abril,2021,,,
Arauca (Arauca),Papaya maradol ,6/1/2021,1833,1,Junio,2021,,,
Arauca (Arauca),Papaya maradol ,7/1/2021,1792,1,Julio,2021,,,
Arauca (Arauca),Papaya maradol ,8/1/2021,1996,1,Agosto,2021,,,
Arauca (Arauca),Papaya maradol ,10/1/2021,1933,1,Octubre,2021,,,
Arauca (Arauca),Papaya maradol ,11/1/2021,2122,1,Noviembre,2021,,,
Arauca (Arauca),Papaya maradol ,2/1/2022,2154,1,Febrero,2022,,,
Arauca (Arauca),Papaya maradol ,3/1/2022,2203,1,Marzo,2022,,,
Arauca (Arauca),Papaya maradol ,5/1/2022,2262,1,Mayo,2022,,,
Arauca (Arauca),Papaya maradol ,7/1/2022,1842,1,Julio,2022,,,
Arauca (Arauca),Papaya maradol ,9/1/2022,2439,1,Septiembre,2022,,,
Arauca (Arauca),Papaya maradol ,11/1/2022,2700,1,Noviembre,2022,,,
Arauca (Arauca),Papaya maradol ,12/1/2022,2694,1,Diciembre,2022,,,
Arauca (Arauca),Papaya maradol ,1/1/2023,2889,1,Enero,2023,,,
Arauca (Arauca),Papaya maradol ,5/1/2023,2806,1,Mayo,2023,,,
Arauca (Arauca),Papaya maradol ,6/1/2023,3000,1,Junio,2023,,,
Arauca (Arauca),Papaya maradol ,8/1/2023,3065,1,Agosto,2023,,,
Arauca (Arauca),Papaya maradol ,9/1/2023,3169,1,Septiembre,2023,,,
Arauca (Arauca),Papaya maradol ,10/1/2023,2961,1,Octubre,2023,,,
Arauca (Arauca),Papaya maradol ,2/1/2024,2567,1,Febrero,2024,,,
Arauca (Arauca),Papaya maradol ,3/1/2024,2525,1,Marzo,2024,,,
Arauca (Arauca),Papaya maradol ,7/1/2024,2772,1,Julio,2024,,,
Arauca (Arauca),Papaya maradol ,9/1/2024,3129,1,Septiembre,2024,,,
Arauca (Arauca),Papaya maradol ,10/1/2024,2705,1,Octubre,2024,,,
Arauca (Arauca),Papaya maradol ,11/1/2024,2457,1,Noviembre,2024,,,
