Mercado,Producto,Fecha,Precio $/KG
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2016,943
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2016,795
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2016,799
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2016,757
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2016,660
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2016,575
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2017,575
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),4/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2017,571
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2017,586
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2018,669
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2018,686
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2018,629
Arauca (Arauca),Yuca criolla (Semanal | Mensual),4/1/2018,636
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2018,623
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2018,654
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2018,695
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2018,786
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2018,861
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2018,887
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2018,890
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2018,1149
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2019,1108
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2019,1043
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2019,1102
Arauca (Arauca),Yuca criolla (Semanal | Mensual),4/1/2019,1113
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2019,1197
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2019,1200
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2019,1197
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2019,1200
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2019,1207
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2019,1194
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2020,1232
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2020,1171
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2020,1106
Arauca (Arauca),Yuca criolla (Semanal | Mensual),4/1/2020,1160
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2020,1063
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2020,990
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2020,826
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2020,783
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2020,776
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2020,756
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2020,745
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2020,761
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2021,750
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2021,754
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2021,769
Arauca (Arauca),Yuca criolla (Semanal | Mensual),4/1/2021,765
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2021,848
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2021,840
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2021,781
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2021,792
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2021,802
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2021,844
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2021,947
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2021,968
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2022,1035
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2022,1465
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2022,1755
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2022,2031
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2022,2155
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2022,2326
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2022,2774
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2022,2998
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2022,3229
Arauca (Arauca),Yuca criolla (Semanal | Mensual),12/1/2022,2980
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2023,2646
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2023,2536
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2023,2311
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2023,2059
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2023,1955
Arauca (Arauca),Yuca criolla (Semanal | Mensual),8/1/2023,1733
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2023,1688
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2023,1767
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2023,1651
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2024,1681
Arauca (Arauca),Yuca criolla (Semanal | Mensual),3/1/2024,1589
Arauca (Arauca),Yuca criolla (Semanal | Mensual),5/1/2024,1446
Arauca (Arauca),Yuca criolla (Semanal | Mensual),6/1/2024,1425
Arauca (Arauca),Yuca criolla (Semanal | Mensual),7/1/2024,1362
Arauca (Arauca),Yuca criolla (Semanal | Mensual),9/1/2024,1351
Arauca (Arauca),Yuca criolla (Semanal | Mensual),10/1/2024,1406
Arauca (Arauca),Yuca criolla (Semanal | Mensual),11/1/2024,1446
Arauca (Arauca),Yuca criolla (Semanal | Mensual),1/1/2025,1743
Arauca (Arauca),Yuca criolla (Semanal | Mensual),2/1/2025,1670
